34459,698,917574,7248,43,5,5034,409,176.37755102040816,180,0
69003,117,167904,1505,31,0,4546,438,150.875,145,0
814,960,948046,17999,143,71,21304,116,142.32963988919667,210,0
86681,226,266596,1693,135,85,25387,83,109.98930481283422,150,0
6521,393,373326,5022,90,10,9757,276,165.84183673469389,137,0
14869,1096,1105320,8318,179,229,34270,39,97.56351791530945,208,0
83874,706,559999,4992,134,79,20022,123,144.6476683937824,187,0
12411,203,319475,2511,46,9,4631,432,177.39285714285714,148,0
21550,282,271028,1403,58,56,8717,295,161.8877551020408,123,0
8352,191,229170,3563,44,5,5536,389,177.36363636363637,160,0
8825,259,102779,5395,129,1037,37741,23,12.369747899159664,48,0
70276,763,978989,19257,166,1783,43780,10,34.41358024691358,179,0
119018,195,774560,4580,4,0,615,2077,144.33333333333334,155,0
31794,18,49061,376,14,0,2354,683,121.88888888888889,52,0
45973,812,996628,7429,160,163,26282,77,135.1263157894737,171,0
128986,80,106780,854,24,1,3226,557,134.56666666666666,114,0
5734,1868,2003930,32590,101,445,12586,224,162.15416666666667,209,0
95153,296,683797,4212,130,76,17740,153,156.82394366197184,175,0
564,232,109047,3872,141,663,36236,28,38.333333333333336,74,0
7232,370,192300,5653,115,89,14880,184,156.88301886792453,109,0
119311,260,2487065,10839,49,6,7327,334,128.44117647058823,212,0
830,474,294495,2117,17,0,1522,945,190.33333333333334,149,0
120359,44,70915,275,10,0,1117,1249,188.3,81,0
50454,693,36004,5085,4,9,239,5236,168.1604938271605,17,0
1462,578,548826,6276,127,259,15965,173,162.46236559139786,117,0
3662,168,266228,1534,66,41,7945,315,146.30172413793105,127,0
128855,178,207460,1288,100,10,16071,170,117.64,179,0
125381,111,134340,693,21,0,2583,639,154.92592592592592,130,0
34010,106,3890,1479,21,24,1622,897,158.93975903614458,2,0
777,1557,3312146,39255,198,3927,52240,1,33.90593047034765,249,0
124635,190,386060,1976,88,35,14161,196,132.14583333333334,198,0
1124,801,2077366,23053,78,110,8004,313,161.86006825938566,138,0
4493,86,66607,479,19,1,1155,1200,228.0,62,0
34842,448,1598125,6988,162,168,25882,81,146.9396984924623,191,0
102538,152,764215,1338,4,0,399,3181,233.2,126,0
129945,69,104920,614,60,12,9760,275,132.453125,120,0
1291,555,104188,4088,33,87,3830,498,172.5981308411215,99,0
96821,597,395055,4129,59,110,8607,299,128.21481481481482,53,0
15608,397,769344,7451,61,31,6416,358,144.7391304347826,133,0
46343,127,135010,1278,96,29,14359,189,146.15972222222223,86,0
58748,302,179139,3575,66,8,7900,316,144.71341463414635,108,0
93368,83,89015,726,69,20,10530,259,142.32432432432432,105,0
401,1664,902284,23733,167,538,29086,62,107.25,185,0
114610,121,261145,1467,36,1,5908,376,139.27906976744185,133,0
22189,46,79565,378,14,1,2147,726,126.77777777777777,92,0
76281,80,82936,971,14,0,1487,974,102.96296296296296,114,0
26196,210,170384,1456,18,0,2584,638,160.38709677419354,64,0
23307,614,139144,3118,12,5,2054,755,176.05263157894737,107,0
3757,148,250003,3207,113,46,17055,160,136.77339901477833,163,0
140,575,115513,5294,54,98,3043,575,189.8969696969697,15,0
111482,454,1169831,4944,67,15,8635,298,155.26271186440678,193,0
833,218,246930,2713,141,152,30152,57,82.27272727272727,122,0
96318,43,29712,159,7,0,618,2064,149.6875,11,0
513,737,938323,22454,185,1378,48523,4,36.52488687782805,196,0
116178,29,515370,717,23,1,3936,482,113.21875,122,0
68186,304,438933,5187,134,157,23731,96,114.97899159663865,91,0
916,405,146160,1876,27,18,2316,689,198.5977011494253,90,0
640,84,10661,500,14,6,1242,1119,201.8048780487805,11,0
112852,67,57340,280,1,0,225,5603,146.66666666666666,45,0
820,212,219835,2173,139,140,29804,58,91.87570621468926,149,0
118921,122,123615,1115,21,1,3149,568,147.03846153846155,142,0
21068,277,754693,3686,178,590,46309,6,45.116,192,0
127709,64,183135,948,38,1,6549,352,108.16,149,0
11749,131,374838,1240,28,0,3702,507,134.21951219512195,171,0
37320,397,521156,4164,71,3,12788,220,119.51724137931035,209,0
58470,251,359679,4195,146,570,31548,54,70.56643356643356,131,0
71872,306,101527,2614,26,48,1634,893,183.16091954022988,67,0
15730,50,65027,674,25,2,1855,821,220.02941176470588,67,0
120689,314,283735,1434,94,24,13562,205,150.15151515151516,142,0
96550,60,126596,1792,6,0,579,2209,145.2888888888889,9,0
131008,28,60500,266,15,0,2413,673,140.4,66,0
